cluster_id,dominant_sg_wyckoff,fraction,n_labeled,cluster_size
0,I4/mmm | a b d,0.47263392857142855,22400,30330
1,F-43m | a b c d,0.4984889636968746,26141,48524
2,P2/m | a g n,0.25979998930424086,18699,26113
3,R-3m | a b c,0.8763013217920225,17098,24416
4,P4mm | a b,0.46101524121425874,23817,32328
5,P4/mmm | a c e,0.6464547677261614,18405,25222
6,Fm-3m | a b c,0.10090311598657146,21149,29593
7,Cm | a,0.13558689650026118,26802,35524
8,F-43m | a b c d,0.9975124378109452,24924,34940
9,I4mm | a,0.2540507859733978,24810,33109
10,P3m1 | a b c,0.13988351481387692,19745,26609
11,P3m1 | a b c,0.15536166619757952,21318,27933
12,Cm | a,0.31096984515077425,30675,39830
13,F-43m | a b c d,0.99361249112846,21135,31971
14,I-4m2 | a b c d,0.3480474031655134,25146,34615
15,Cmmm | a b f,0.20911459288885628,27253,36307
16,F-43m | a b c d,0.993358118551318,23939,34452
17,Imm2 | a b,0.3321294749672701,22151,30653
18,Pmmm | a d f g,0.4788616209527738,19396,27067
19,R-3m | a b c,0.7388309084365843,19451,27446
20,R-3m | a b c,0.425517945725124,27416,35336
21,Immm | a c j,0.20037567709243403,22892,31516
22,P3m1 | a b c,0.13475615133609667,22678,29309
23,F-43m | a c e,0.3863985599508276,22777,55207
24,Cm | a,0.27341782435616213,24618,32350
25,Cm | a,0.27080784740156766,22071,29477
26,I-4m2 | a b c d,0.49262125438675425,22226,31216
27,P4/mmm | a c e,0.4169637240511638,19076,26514
28,F-43m | a c e,0.8261737494721486,26049,37122
29,R-3m | a b c,0.7404434250764526,20928,28640
30,I4/mmm | a b d,0.33843478260869564,23000,31088
31,F-43m | a c e,0.6727105572296849,39158,58566
32,Pmmm | a d f g,0.37731624827323396,20993,28614
33,Imm2 | a b,0.12359927210037353,20882,27839
34,F-43m | a b c d,0.9968691059977367,26510,36082
35,C2/m | a d i,0.21442674740028958,22791,30000
36,Cmmm | a b f,0.4865692983352058,19582,26221
37,Cm | a,0.3927317341456192,23637,30576
38,Pm | a b,0.25403983464862834,21288,29646
39,P4mm | a b,0.3978264680105171,28525,38414
40,Cmm2 | a b,0.22917953151372936,24291,32931
41,I4/mmm | a h i,0.060888091500336396,26754,35212
42,Pm | a b,0.2975397124774718,23859,33252
43,Imm2 | a b,0.16335626682620402,33430,43476
44,C2/m | a d i,0.16846809395136148,19244,25193
45,R-3m | a e,0.062010132940717964,23093,31760
46,Cmmm | a b f,0.5051380404413506,21117,28391
47,I4/mmm | a b d,0.3669237519050478,21653,28925
48,Pm | a b,0.21927469445001002,24955,32427
49,C2/m | a d i,0.06185201595037661,22570,31407
