cluster_id,dominant_sg_wyckoff,fraction,n_labeled,cluster_size
0,F-43m | a b c d,0.9976569037656904,5975,7418
1,Pmmm | a d f g,0.6364449746495675,3353,4631
2,P-3m1 | a d,0.13478879924062648,4214,5336
3,I4/mmm | a b d,0.8264530146659425,3682,5112
4,Imm2 | a b,0.37304425569959765,4474,5941
5,F-43m | a c e,0.9437553464499572,4676,6629
6,C2/m | a d i,0.49412562132851334,4426,5859
7,F-43m | a b c d,0.9956633472534533,6226,8567
8,Pm | a b,0.6667872648335745,2764,3918
9,R-3m | a b c,0.9390002824061,3541,4625
10,P4mm | a b,0.7367955801104973,4525,6248
11,Imm2 | a b,0.398959236773634,4612,6470
12,F-43m | a c e,0.9199092653987088,5731,8280
13,Pmmm | a d f g,0.7016829533116178,3684,5117
14,I4/mmm | a b d,0.6085635359116022,3620,4984
15,Cm | a,0.9893617021276596,3760,4425
16,F-43m | a b c d,0.9949295774647887,5325,7713
17,Cm | a,0.9631793237741193,5649,6676
18,R-3m | a b c,0.9429849077697038,3578,5001
19,P6_3/mmc | b f h k,0.12629757785467127,4624,6370
20,I-4m2 | a b c d,0.9649038461538462,4160,5613
21,Imm2 | a b,0.2852094901564866,3962,5420
22,P2/m | a c n,0.3443072702331962,3645,5144
23,P2/m | a g n,0.7398534385569335,3548,4796
24,Immm | a c j,0.5853115727002968,4044,5483
25,Pmmm | a d f g,0.5686429512516469,3795,5406
26,Immm | a c j,0.6575946086054951,3858,5189
27,Fm-3m | a b c,0.8752817430503381,1331,6382
28,R-3m | a b c,0.9941844364441983,3611,5078
29,C2/m | a d i,0.5909853752097818,4171,5221
30,C2/m | i,0.10318396226415094,5088,6407
31,Fm-3m | a b c,0.9403069926094372,3518,5200
32,Pm | a b,0.8605875831485588,3608,4860
33,Cm | a,0.9658770445572477,3546,4262
34,I4mm | a,0.7616908850726553,3785,4784
35,Fm-3m | a b c,0.8600706713780919,1415,7845
36,P-3m1 | a d,0.196,3500,4387
37,C2/m | a d i,0.3840117704757234,4078,5324
38,Immm | a c j,0.6581352833638026,3282,4546
39,P4/mmm | a b h,0.6325181758096498,3026,4158
40,I4/mmm | a h i,0.12558936990998715,4666,6430
41,P4mm | a b,0.8219400162118347,3701,5133
42,Imm2 | a b,0.41483168818020755,3951,5534
43,P6_3/mmc | b f h k,0.0744240992321323,5079,6572
44,P4/mmm | a c e,0.5346613545816733,3765,5285
45,F-43m | a b c d,0.8410787382614977,4153,6032
46,F-43m | a c e,0.9721518987341772,5135,7120
47,R3m | a,0.9831257533145842,2489,3526
48,P4/mmm | a b h,0.7298099762470309,3368,4630
49,Cmm2 | a b,0.4276491540516474,4492,5977
50,P3m1 | a b c,0.2093206951026856,3798,5412
51,Pmmm | a c t,0.4880920524484881,3737,5197
52,I-4m2 | a b c d,0.835054347826087,3680,4926
53,F-43m | a c e,0.9190541155070486,4398,6296
54,P2/m | a c n,0.27527910685805423,3135,4301
55,P4mm | a b,0.7948016415868673,4386,6016
56,P4/mmm | a c e,0.8449279803861477,3263,4366
57,Cmcm | c,0.07458883483900858,4317,5583
58,Cmmm | a b f,0.6418392040871201,3719,4874
